key	name	pipetype	regions	wikipediaUrl	websiteUrl
vsto	Восточный нефтепровод	нефтепровод	38,28	http://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D1%8B%D0%B9_%D0%BD%D0%B5%D1%84%D1%82%D0%B5%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4	http://www.vstoneft.ru/
cpc	Каспийский трубопроводный консорциум	нефтепровод	08,30,26,23	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D1%82%D1%80%D1%83%D0%B1%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%81%D0%BE%D1%80%D1%86%D0%B8%D1%83%D0%BC	http://www.cpc.ru/
bakunovoros	Нефтепровод Баку - Новороссийск	нефтепровод	05,26,23	http://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%84%D1%82%D0%B5%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4_%D0%91%D0%B0%D0%BA%D1%83_%E2%80%94_%D0%9D%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA	
uzatysamara	Нефтепровод Узень - Атырау - Самара	нефтепровод	63	http://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%84%D1%82%D0%B5%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4_%D0%A3%D0%B7%D0%B5%D0%BD%D1%8C_%E2%80%94_%D0%90%D1%82%D1%8B%D1%80%D0%B0%D1%83_%E2%80%94_%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0	http://www.kaztransoil.kz/index.html?id=294
bts	Балтийская трубопроводная система	нефтепровод	76,69,53,47	http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D1%82%D1%80%D1%83%D0%B1%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0	
bts2	Балтийская трубопроводная система-II	нефтепровод	32,67,69,53,47	http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D1%82%D1%80%D1%83%D0%B1%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-II	http://bts2.ru/
druzhba	Нефтепровод "Дружба"	нефтепровод		http://ru.wikipedia.org/wiki/%D0%94%D1%80%D1%83%D0%B6%D0%B1%D0%B0_(%D0%BD%D0%B5%D1%84%D1%82%D0%B5%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4)	http://druzhbamn.ru/
gasaltay	Газопровод Алтай	газопровод		http://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%82%D0%B0%D0%B9_(%D0%B3%D0%B0%D0%B7%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4)	http://www.gazprom.ru/production/projects/pipelines/altai/
byytg	Газопровод Бованенково — Ухта	газопровод		http://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B2%D0%B0%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%BE_%E2%80%94_%D0%A3%D1%85%D1%82%D0%B0	http://www.gazprom.ru/production/projects/pipelines/by-ytg/
dls	Газопровод «Джубга — Лазаревское — Сочи»	газопровод	23	http://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4_%C2%AB%D0%94%D0%B6%D1%83%D0%B1%D0%B3%D0%B0_%E2%80%94_%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%E2%80%94_%D0%A1%D0%BE%D1%87%D0%B8%C2%BB	http://www.gazprom.ru/production/projects/pipelines/dls/
sarmos	Газопровод Саратов — Москва	газопровод	64,68,58,62,50	http://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4_%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2_%E2%80%94_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0	
shvg	Газотранспортная система «Сахалин — Хабаровск — Владивосток»	газопровод	65,27,25	http://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%85%D0%B0%D0%BB%D0%B8%D0%BD_%E2%80%94_%D0%A5%D0%B0%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA_%E2%80%94_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA	http://www.gazprom.ru/production/projects/pipelines/shvg/
bluestream	Газопровод "Голубой поток"	газопровод	23,26	http://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D0%BE%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA	http://www.gazprom.ru/production/projects/pipelines/blue-stream/
gvg	Магистральный газопровод «Грязовец — Выборг» 	газопровод	35,47		http://www.gazprom.ru/production/projects/pipelines/gvg/
nordstream	Газопровод «Северный поток» (Nord Stream)	газопровод	47	http://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA	http://www.gazprom.ru/production/projects/pipelines/nord-stream/
dzuarikau-tskhinval	Газопровод «Дзуарикау — Цхинвал»	газопровод	15	http://ru.wikipedia.org/wiki/%D0%94%D0%B7%D1%83%D0%B0%D1%80%D0%B8%D0%BA%D0%B0%D1%83_%E2%80%94_%D0%A6%D1%85%D0%B8%D0%BD%D0%B2%D0%B0%D0%BB	http://www.gazprom.ru/production/projects/pipelines/dzuarikau-tskhinval/
pg	Прикаспийский газопровод	газопровод		http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D1%81%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D0%B0%D0%B7%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4	http://www.gazprom.ru/production/projects/pipelines/pg/
kasimovskoe_voskresensk	Газопровод "Касимовское ПХГ — КС «Воскресенск»"	газопровод			http://www.gazprom.ru/production/projects/pipelines/kasimovskoe_voskresensk/
mvkk	Газопровод "Минск — Вильнюс — Каунас — Калининград"	газопровод	39		http://www.gazprom.ru/production/projects/pipelines/mvkk/
mvg	Газопровод «Мурманск — Волхов»	газопровод	51,10,35,47		http://www.gazprom.ru/production/projects/pipelines/mvg/
pochgr	Газопровод «Починки — Грязовец»	газопровод			http://www.gazprom.ru/production/projects/pipelines/pochgr/
centa-asia	Газопровод «Средняя Азия — Центр»	газопровод			http://www.gazprom.ru/production/projects/pipelines/central-asia/
southstream	Газопровод "Южный поток"	газопровод	26,23	http://ru.wikipedia.org/wiki/%D0%AE%D0%B6%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D1%82%D0%BE%D0%BA	http://www.gazprom.ru/production/projects/pipelines/south-stream/
yamalevropa	Транснациональный газопровод «Ямал — Европа»	газопровод		http://ru.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0%D0%BB_%E2%80%94_%D0%95%D0%B2%D1%80%D0%BE%D0%BF%D0%B0	http://www.gazprom.ru/production/projects/pipelines/yamal-evropa/
srto-torzhok	Газопровод «СРТО — Торжок»	газопровод			http://www.gazprom.ru/production/projects/pipelines/srto-torzhok/
